#Frequency,Eps1,Eps2,Eps1,Eps2
368.34,-562.1913788,118.3754261,5,0.1
368.983,-559.7666045,118.3321889,5,0.1
369.626,-557.1179793,118.2824422,5,0.1
370.269,-554.34072,118.4723734,5,0.1
370.912,-551.6410776,118.8903761,5,0.1
371.554,-549.0476006,119.4001707,5,0.1
372.197,-546.5325789,120.1353408,5,0.1
372.84,-544.2694,121.081512,5,0.1
373.483,-542.4046632,122.1482113,5,0.1
374.126,-541.0326051,123.0910409,5,0.1
374.769,-540.0305328,123.5905399,5,0.1
375.411,-539.0925077,123.5442379,5,0.1
376.054,-537.8752466,122.9780658,5,0.1
376.697,-536.1536887,122.3068762,5,0.1
377.34,-534.0990768,121.8691724,5,0.1
377.983,-531.986328,121.686319,5,0.1
378.626,-529.9616296,121.6666285,5,0.1
379.268,-528.086086,121.6933934,5,0.1
379.911,-526.2771296,121.6016908,5,0.1
380.554,-524.4080211,121.484581,5,0.1
381.197,-522.4774898,121.4088182,5,0.1
381.84,-520.6478059,121.5654008,5,0.1
382.482,-519.1113342,121.5523951,5,0.1
383.125,-517.5943298,121.2093869,5,0.1
383.768,-515.771068,120.5574388,5,0.1
384.411,-513.4837708,120.0696418,5,0.1
385.054,-511.0263523,120.0426884,5,0.1
385.697,-508.7981792,120.4144962,5,0.1
386.339,-506.9315208,120.7763651,5,0.1
386.982,-505.2357623,120.9978582,5,0.1
387.625,-503.5394339,121.0201947,5,0.1
388.268,-501.6971774,120.9827664,5,0.1
388.911,-499.6695767,120.9991874,5,0.1
389.554,-497.5685226,121.3617278,5,0.1
390.196,-495.640312,121.9048043,5,0.1
390.839,-493.9199516,122.641498,5,0.1
391.482,-492.5441898,123.4371196,5,0.1
392.125,-491.4699895,124.0289344,5,0.1
392.768,-490.4925557,124.4018923,5,0.1
393.411,-489.5305264,124.6536734,5,0.1
394.053,-488.6521111,124.8718856,5,0.1
394.696,-487.9183087,124.8954211,5,0.1
395.339,-487.2552364,124.6971446,5,0.1
395.982,-486.4654346,124.0146091,5,0.1
396.625,-485.2179951,123.2794866,5,0.1
397.268,-483.6556964,122.7318856,5,0.1
397.91,-482.022706,122.5853205,5,0.1
398.553,-480.5820797,122.6319016,5,0.1
399.196,-479.383736,122.8311452,5,0.1
399.839,-478.5226113,122.9770404,5,0.1
400.482,-477.9850873,122.9466071,5,0.1
401.125,-477.6633332,122.3958241,5,0.1
401.767,-477.1480283,121.2890847,5,0.1
402.41,-476.1333444,119.8741874,5,0.1
403.053,-474.5751896,118.5582496,5,0.1
403.696,-472.7171028,117.6102962,5,0.1
404.339,-470.8515612,117.016544,5,0.1
404.981,-469.1606353,116.6646973,5,0.1
405.624,-467.695941,116.3394336,5,0.1
406.267,-466.4324415,115.9733753,5,0.1
406.91,-465.2806503,115.3040683,5,0.1
407.553,-463.9601267,114.4008634,5,0.1
408.196,-462.370176,113.457995,5,0.1
408.838,-460.5866277,112.6755066,5,0.1
409.481,-458.7620944,112.0481321,5,0.1
410.124,-456.962314,111.5432108,5,0.1
410.767,-455.2587931,111.1293258,5,0.1
411.41,-453.6087577,110.5681668,5,0.1
412.053,-451.7831877,109.9972477,5,0.1
412.695,-449.8218223,109.6489304,5,0.1
413.338,-447.9961979,109.6741682,5,0.1
413.981,-446.5968448,109.7448684,5,0.1
414.624,-445.5001397,109.4940168,5,0.1
415.267,-444.3836973,108.858622,5,0.1
415.91,-443.0036375,107.9669285,5,0.1
416.552,-441.3204426,107.1275407,5,0.1
417.195,-439.4701104,106.3873376,5,0.1
417.838,-437.530634,105.8265896,5,0.1
418.481,-435.5842048,105.366993,5,0.1
419.124,-433.6537757,105.0655272,5,0.1
419.767,-431.8422586,104.8566708,5,0.1
420.409,-430.1329954,104.5788646,5,0.1
421.052,-428.4236468,104.2988059,5,0.1
421.695,-426.7593779,103.9818703,5,0.1
422.338,-425.0873817,103.5592761,5,0.1
422.981,-423.3168465,103.0493909,5,0.1
423.623,-421.3457528,102.4640509,5,0.1
424.266,-419.0598016,102.0071845,5,0.1
424.909,-416.5716382,101.9587989,5,0.1
425.552,-414.2137431,102.4318906,5,0.1
426.195,-412.3236341,103.2115143,5,0.1
